"","StackID","sampleNUM","symClade","symTreat","hostStage","timepoint","confocal","Edu","size","offscreen","sym.count","damage","stage","filter","notes","sym.size","Edu.size","Edu.size.simple","Edu.size.quantnorm","Edu.simple","Edu.quantnorm","sym.count.log","Edu.size.sqrt"
"18","119F",119,"D","25","larv","9","new",8016.91,280013.418,"no",331,"","larv","","",0.00118208620988298,0.0286304494165347,0.041042791191425,0.0224834346574602,13645.6581199838,5637.61114235764,2.51982799377572,0.169205346891092
"19","119G",119,"D","25","larv","9","new",22830.47,271488.384,"no",642,"","larv","","maybe meta?",0.00236474205835635,0.0840937268240545,0.0965060685989447,0.102946336135279,28459.2181199838,29843.7577512488,2.80753502806885,0.289989183977704
"20","126A",126,"D","32","larv","9","old",2420.967,295549.846,"no",12,"","larv","","",4.0602288116232e-05,0.00819139997115749,-0.00422094180373274,0.0139616113125762,-3207.78111998384,4851.53564793902,1.07918124604762,0.0905063532088079
"21","126B",126,"D","32","larv","9","old",2063.199,281882.952,"no",365,"","larv","","",0.0012948636922179,0.00731934650663088,-0.00509299526825935,0.0128516469887505,-3565.54911998384,3970.05786363636,2.56229286445647,0.0855531794069097
"22","126C",126,"D","32","larv","9","old",1631.671,288712.263,"no",106,"","larv","","",0.00036714754994664,0.00565154726385834,-0.00676079451103189,0.0076580308851546,-3997.07711998384,2272.55544071146,2.02530586526477,0.0751767734334105
"23","126F",126,"D","32","larv","9","new",8706.13,446205.36,"no",219,"Y","larv","","redid Edu and size, blocking out problem areas",0.000490805399558625,0.0195114868185358,0.031923828593426,0.013715565814534,14334.8781199838,7050.43405794206,2.34044411484012,0.139683523790516
"24","126G",126,"D","32","larv","9","new",2254.09,466757.289,"no",591,"","larv","","lots of syms but Edu looks low",0.00126618269050749,0.00482925506065316,0.0172415968355434,0.00338634072613016,7882.83811998384,1587.52409307359,2.77158748088126,0.06949284179434
"25","126H",126,"D","32","larv","9","new",5668.84,404267.113,"no",557,"Y","larv","","damage but I think useable",0.00137780190890769,0.0140225109035768,0.026434852678467,0.0105735420577872,11297.5881199838,3764.20945604396,2.74585519517373,0.118416683383621
"26","127B",127,"D","32","larv","9","old",692.099,274574.549,"no",141,"","larv","","",0.000513521739409285,0.00252062327888955,-0.00989171849600068,0.0041504595954027,-4936.64911998384,1118.5495,2.14921911265538,0.0502058092145675
"27","127C",127,"D","32","larv","9","old",1659.245,228137.718,"no",133,"","larv","","",0.000582981197348524,0.00727299726913197,-0.00513934450575826,0.0107385796690908,-3969.50311998384,3436.85026397516,2.12385164096709,0.0852818695217921
"28","127D",127,"D","32","larv","9","new",2545.97,241198.799,"no",46,"","larv","","looks faded/low",0.000190714050777674,0.0105554837360529,0.0229678255109432,0.00844489744659051,8174.71811998384,2003.69102997003,1.66275783168157,0.102739883862368
"29","127E",127,"D","32","larv","9","new",1545,273479.621,"no",57,"","larv","","looks faded/low",0.000208425036540474,0.00564941546412338,0.0180617572390136,0.00441421234677336,7173.74811998384,1118.5495,1.75587485567249,0.0751625935164785
"30","127F",127,"D","32","larv","9","new",NA,325494.786,"no",22,"","larv","","looks faded/low",6.75894083292628e-05,NA,NA,NA,NA,NA,1.34242268082221,NA
"31","127G",127,"D","32","larv","9","new",1574.8,291029.41,"no",61,"Y","larv","","looks faded/low",0.000209600809760086,0.00541113697065874,0.017823478745549,0.00384530678228988,7203.54811998384,1161.13766067266,1.78532983501077,0.0735604307400299
"32","127I",127,"D","32","larv","9","new",3619.53,391360.745,"no",151,"Y","larv","","damage but usable?",0.000385833280238671,0.00924857703855812,0.0216609188134484,0.00704758232298764,9248.27811998384,2641.57462121212,2.17897694729317,0.096169522399553
"33","13A",13,"B","25","larv","3","old",39320.031,371602.875,"yes",46,"","larv","","",0.00012378806272691,0.105811966605479,0.0933996248305888,0.079912284016899,33691.2828800162,31808.8663526256,1.66275783168157,0.325287513755876
"34","13B",13,"B","25","larv","3","old",63681.355,420639.904,"yes",68,"","larv","","",0.000161658462151037,0.151391616426386,0.138979274651496,0.132097563893315,58052.6068800162,49531.64001214,1.83250891270624,0.38909075602793
