Glycan Types,Glycan family,Glycan,Hex-Nac,Hex,Fuc,NeuAc,NeuGc,Breviolum minitum_25C_1,Breviolum minitum_25C_2,Breviolum minitum_25C_3,Breviolum minitum_32C_1,Breviolum minitum_32C_2,Breviolum minitum_32C_3,Durusdinium trenchii_25C_1,Durusdinium trenchii_25C_2,Durusdinium trenchii_25C_3,Durusdinium trenchii_32C_1,Durusdinium trenchii_32C_2,Durusdinium trenchii_32C_3,Symbiodinium microadriaticum_25C_1,Symbiodinium microadriaticum_25C_2,Symbiodinium microadriaticum_25C_3,Symbiodinium microadriaticum_32C_1,Symbiodinium microadriaticum_32C_2,Symbiodinium microadriaticum_32C_3,Cladocopium goreaui_25C_1,Cladocopium goreaui_25C_2,Cladocopium goreaui_25C_3,Cladocopium goreaui_32C_1,Cladocopium goreaui_32C_2
Fucosylated,H,4-6-1-0-0,4,6,1,0,0,0.00E+00,0.00E+00,1.31E+05,0.00E+00,5.22E+04,1.69E+05,0.00E+00,0.00E+00,9.54E+04,0.00E+00,5.30E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.95E+04,0.00E+00,3.87E+04,0.00E+00,0.00E+00
Fucosylated,H,4-7-1-0-0,4,7,1,0,0,0.00E+00,0.00E+00,7.55E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.66E+05,5.25E+04,0.00E+00,0.00E+00,2.87E+06,0.00E+00,6.36E+04,0.00E+00,6.98E+05,1.25E+05,2.84E+05,7.30E+05,1.23E+05
Fucosylated,C,5-3-1-0-0,5,3,1,0,0,4.25E+06,1.22E+05,9.45E+05,6.71E+04,0.00E+00,5.74E+06,1.45E+05,0.00E+00,0.00E+00,4.44E+03,8.43E+04,0.00E+00,3.80E+03,1.40E+05,0.00E+00,0.00E+00,2.62E+05,1.96E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.42E+05
Fucosylated,C,6-3-1-0-0,6,3,1,0,0,1.16E+08,1.30E+07,1.61E+08,1.48E+07,1.24E+07,7.85E+07,1.52E+05,0.00E+00,0.00E+00,0.00E+00,2.91E+04,0.00E+00,8.65E+05,2.14E+06,0.00E+00,6.12E+05,6.64E+05,4.29E+05,2.73E+05,0.00E+00,4.31E+04,3.77E+04,2.99E+04
Fucosylated,C,6-3-2-0-0,6,3,2,0,0,5.05E+06,0.00E+00,0.00E+00,4.53E+05,0.00E+00,0.00E+00,4.10E+06,0.00E+00,0.00E+00,4.74E+03,0.00E+00,0.00E+00,5.81E+06,0.00E+00,0.00E+00,1.23E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fucosylated,C,6-4-1-0-0,6,4,1,0,0,9.24E+06,8.76E+05,3.24E+07,2.25E+06,2.29E+05,1.35E+07,2.62E+06,2.35E+05,4.91E+05,2.39E+04,5.27E+05,7.65E+04,4.22E+06,2.17E+07,1.22E+05,4.34E+06,1.53E+07,9.77E+06,3.42E+06,0.00E+00,5.14E+04,6.66E+04,4.74E+04
Fucosylated,C,6-5-1-0-0,6,5,1,0,0,0.00E+00,1.77E+04,1.95E+06,0.00E+00,2.13E+04,4.49E+05,0.00E+00,3.78E+04,3.26E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.73E+06,2.63E+04,0.00E+00,2.44E+06,1.67E+06,4.57E+05,5.66E+04,6.95E+04,7.45E+04,1.87E+04
Fucosylated,C,6-6-1-0-0,6,6,1,0,0,1.32E+06,0.00E+00,0.00E+00,5.17E+04,0.00E+00,0.00E+00,1.33E+06,0.00E+00,0.00E+00,1.10E+05,0.00E+00,0.00E+00,2.32E+05,0.00E+00,0.00E+00,4.74E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,H,3-6-0-1-0,3,6,0,1,0,0.00E+00,0.00E+00,1.19E+05,0.00E+00,0.00E+00,1.37E+05,0.00E+00,0.00E+00,7.96E+04,0.00E+00,5.34E+04,5.44E+04,0.00E+00,6.02E+06,0.00E+00,0.00E+00,2.90E+06,2.79E+06,8.44E+05,0.00E+00,7.29E+04,1.72E+05,3.10E+04
Sialylated,C,4-5-0-1-0,4,5,0,1,0,0.00E+00,0.00E+00,9.04E+04,0.00E+00,0.00E+00,1.88E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.52E+04,0.00E+00,1.46E+05,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,4-5-0-2-0,4,5,0,2,0,4.67E+07,2.68E+06,4.36E+06,1.03E+07,2.46E+06,5.72E+05,6.69E+06,0.00E+00,3.69E+05,1.00E+06,3.15E+05,1.16E+05,3.40E+05,1.58E+07,4.58E+06,2.14E+05,1.57E+06,4.77E+05,1.87E+05,2.60E+05,6.23E+05,1.76E+05,3.86E+05
Sialylated,H,4-6-0-1-0,4,6,0,1,0,6.94E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.99E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,H,4-6-0-2-0,4,6,0,2,0,3.75E+07,0.00E+00,0.00E+00,1.72E+06,0.00E+00,0.00E+00,4.60E+06,0.00E+00,0.00E+00,2.27E+05,0.00E+00,0.00E+00,5.48E+06,0.00E+00,0.00E+00,5.03E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,5-5-0-2-0,5,5,0,2,0,1.97E+06,0.00E+00,0.00E+00,1.60E+05,0.00E+00,0.00E+00,3.98E+04,0.00E+00,0.00E+00,8.02E+03,0.00E+00,0.00E+00,2.75E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,5-6-0-2-0,5,6,0,2,0,3.81E+06,0.00E+00,0.00E+00,7.69E+05,0.00E+00,0.00E+00,3.79E+05,0.00E+00,0.00E+00,3.94E+04,0.00E+00,0.00E+00,2.24E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,5-6-0-3-0,5,6,0,3,0,1.72E+08,1.54E+07,7.61E+06,2.46E+07,8.15E+05,8.49E+06,3.97E+06,4.67E+05,4.40E+05,5.31E+05,4.28E+05,3.56E+05,1.02E+05,7.85E+07,7.01E+06,4.36E+04,7.94E+06,2.04E+06,2.01E+06,2.97E+06,1.18E+06,6.55E+05,1.26E+05
Sialylated,C,5-6-0-4-0,5,6,0,4,0,5.10E+07,2.64E+06,5.53E+05,4.85E+06,6.66E+04,7.60E+05,3.55E+05,3.03E+04,0.00E+00,2.11E+04,3.71E+04,1.02E+03,0.00E+00,1.95E+07,1.29E+06,0.00E+00,4.94E+05,7.23E+04,5.63E+06,2.77E+05,8.15E+04,0.00E+00,3.31E+04
Sialylated,H,5-8-0-2-0,5,8,0,2,0,2.88E+05,0.00E+00,0.00E+00,1.89E+04,0.00E+00,0.00E+00,1.09E+05,0.00E+00,0.00E+00,1.85E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,6-7-0-4-0,6,7,0,4,0,1.19E+07,0.00E+00,0.00E+00,7.22E+04,0.00E+00,0.00E+00,2.81E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.43E+03,0.00E+00,0.00E+00,1.29E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Sialylated,C,7-5-0-1-0,7,5,0,1,9,0.00E+00,4.38E+06,4.01E+07,0.00E+00,1.84E+07,3.99E+07,0.00E+00,3.94E+06,1.85E+07,0.00E+00,1.97E+06,6.95E+05,0.00E+00,2.00E+06,7.72E+04,0.00E+00,2.20E+05,0.00E+00,0.00E+00,1.43E+05,0.00E+00,4.81E+06,2.19E+05
